id,title,original_language,release_date,rd_year,rd_month,rd_month_num,rd_day,rd_weekday,rd_weekday_num,runtime,runtime_cap,ROI,ROI_cap,budget,budget_cap,revenue,revenue_cap,vote_average,vote_average_cap,vote_count,vote_count_cap,popularity,popularity_cap,genres_count,genres_count_cap,prod_comp_count,prod_comp_count_cap,prod_countr_count,prod_countr_count_cap,spok_lang_count,spok_lang_count_cap,cast_size,cast_size_cap,crew_size,crew_size_cap,producer_count,producer_count_cap,director_count,director_count_cap,screenplay_count,screenplay_count_cap,if_franchise,if_homepage,is_dmp_month,is_friday,is_friday,is_thursday,is_wednesday,is_english_spoken,is_Drama,is_Comedy,is_Thriller,is_Action,is_Romance,is_Adventure,is_Crime,is_Science Fiction,is_Horror,is_Family,is_usa_prod,actor_top_freq,producer_top_freq,director_top_freq,screenplay_top_freq,is_prod_comp_top,ti_words_top_freq,ov_ta_words_top_freq
5.0,Four Rooms,en,1995-12-09,1995,Gru,12,9,Sob,6,98.0,98.0,0.075,0.075,4000000.0,4000000.0,4300000.0,4300000.0,6.5,6.5,539.0,539.0,9.026586,9.026586,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,24.0,24.0,88.0,78.0,3,3.0,4,1.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
9273.0,Ace Ventura: When Nature Calls,en,1995-11-10,1995,Lis,11,10,Pt,5,90.0,90.0,6.079517766666667,6.079517766666667,30000000.0,30000000.0,212385533.0,212385533.0,6.1,6.1,1128.0,1128.0,8.205448,8.205448,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,15.0,15.0,11.0,11.0,4,4.0,1,1.0,1,1.0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1
11517.0,Money Train,en,1995-11-21,1995,Lis,11,21,Wt,2,103.0,103.0,-0.40948145,-0.40948145,60000000.0,60000000.0,35431113.0,35431113.0,5.4,5.4,224.0,224.0,7.337906,7.337906,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,44.0,44.0,5,5.0,1,1.0,1,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
8012.0,Get Shorty,en,1995-10-20,1995,Paź,10,20,Pt,5,105.0,105.0,2.805012297520661,2.805012297520661,30250000.0,30250000.0,115101622.0,115101622.0,6.4,6.4,305.0,305.0,12.669608,12.669608,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,16.0,16.0,26.0,26.0,3,3.0,1,1.0,1,1.0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1
9691.0,Assassins,en,1995-10-06,1995,Paź,10,6,Pt,5,132.0,132.0,-0.39393856,-0.39393856,50000000.0,50000000.0,30303072.0,30303072.0,6.0,6.0,394.0,394.0,11.065939,11.065939,4.0,4.0,6.0,6.0,2.0,2.0,3.0,3.0,17.0,17.0,71.0,71.0,8,8.0,1,1.0,3,3.0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1
451.0,Leaving Las Vegas,en,1995-10-27,1995,Paź,10,27,Pt,5,112.0,112.0,12.833333333333334,12.833333333333334,3600000.0,3600000.0,49800000.0,49800000.0,7.1,7.1,365.0,365.0,10.332025,10.332025,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,14.0,12.0,12.0,4,4.0,1,1.0,1,1.0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
9263.0,Now and Then,en,1995-10-20,1995,Paź,10,20,Pt,5,100.0,100.0,1.2833333333333334,1.2833333333333334,12000000.0,12000000.0,27400000.0,27400000.0,6.6,6.6,91.0,91.0,8.681325,8.681325,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,16.0,8.0,8.0,3,3.0,1,1.0,1,1.0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
902.0,The City of Lost Children,fr,1995-05-16,1995,Maj,5,16,Wt,2,108.0,108.0,-0.9034105,-0.9034105,18000000.0,18000000.0,1738611.0,1738611.0,7.6,7.6,308.0,308.0,9.822423,9.822423,3.0,3.0,21.0,7.0,3.0,3.0,2.0,2.0,37.0,37.0,21.0,21.0,6,6.0,2,1.0,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
63.0,Twelve Monkeys,en,1995-12-29,1995,Gru,12,29,Pt,5,129.0,129.0,4.7233898305084745,4.7233898305084745,29500000.0,29500000.0,168840000.0,168840000.0,7.4,7.4,2470.0,1982.75,12.297305,12.297305,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,65.0,50.0,151.0,78.0,4,4.0,1,1.0,2,2.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
9598.0,Babe,en,1995-07-18,1995,Lip,7,18,Wt,2,89.0,89.0,7.4711636666666665,7.220893116666667,30000000.0,30000000.0,254134910.0,246626793.5,6.0,6.0,756.0,756.0,14.404764,14.404764,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,18.0,18.0,11.0,11.0,3,3.0,1,1.0,2,2.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
